음악명,발매일,아티스트,날짜,시간,Key,Key Scale,Camelot,BPM,Duration,Popularity,Energy,Danceability,Happiness,Acousticness,Instrumentalness,Liveness,Speechiness,Loudness
How High The Moon,,Chet Baker,5/19,18:17,A Minor,Minor,8A,115,3:38,48,7,56,19,92,53,8,4,-22
Dedicated To You,,"John Coltrane, Johnny Hartman",5/18,18:19,A♭ Major,Major,4B,62,5:32,52,5,44,14,96,0,12,3,-18
Time After Time,,Chet Baker,5/19,18:23,C Minor,Minor,5A,181,6:47,45,14,36,12,96,1,8,4,-13
Double O,,"Chet Baker, Wolfgang Lackerschmid",5/18,18:31,G Minor,Minor,6A,133,5:59,31,3,44,12,99,91,12,4,-24
Whispered Blues,,DEPARTURE DEPARTMENT,5/19,18:33,E♭ Minor,Minor,2A,173,1:59,0,18,41,24,44,0,26,4,-16
Xerrica el Xerrac,,La Companyia MINIMíssimA,5/18,18:47,D Minor,Minor,7A,94,3:02,0,3,53,31,83,0,17,6,-17
I'm Old Fashioned,,Chet Baker,5/19,18:51,A♭ Major,Major,4B,62,5:04,47,5,42,18,98,0,9,3,-22
That Old Feeling,,Chet Baker,5/19,18:55,F Minor,Minor,4A,78,3:04,57,18,64,64,63,0,14,4,-17
You must believe in spring,,Bill Evans,5/18,19:01,D Major,Major,10B,80,5:44,46,29,32,21,93,85,12,4,-16
Tis Autumn,,Chet Baker,5/19,19:02,C Minor,Minor,5A,108,5:19,36,6,56,26,97,90,7,4,-20
It's Always You,,Chet Baker,5/19,19:07,A♭ Major,Major,4B,82,3:35,61,3,50,31,92,0,13,4,-22
Waltz for Debby (Live / Take 1),,Bill Evans Trio,5/18,19:08,D Minor,Minor,7A,92,6:46,32,20,55,42,90,90,15,4,-21
The Path of Dreams,,AquilaChrysaetos,5/18,19:13,,,,,,,,,,,,,,
September Song,,Chet Baker,5/19,19:14,C Major,Major,8B,117,3:03,39,2,38,9,97,88,12,4,-21
Cooksonia,,Guideropes,5/18,19:18,C Minor,Minor,5A,124,3:41,0,70,78,17,3,66,11,5,-9
Cali Basta,,Grupo,5/19,19:20,,,,,,,,,,,,,,
I cover the Waterfront (with Karen Mal),,Jazz Vocals,5/18,19:22,C Minor,Minor,5A,81,3:16,1,6,36,16,93,0,36,3,-21
Fuck It up,,Trey Stakkz,5/19,19:24,,,,,,,,,,,,,,
I've Grown Accustomed To Her Face,,Chet Baker,5/19,19:41,C Minor,Minor,5A,116,4:13,47,10,44,18,98,93,12,4,-17
But Not For Me,,Chet Baker,5/19,20:01,F Minor,Minor,4A,82,3:04,63,15,63,55,93,0,12,4,-14
Soultrane,,Chet Baker,5/19,20:05,E♭ Major,Major,5B,58,4:42,37,7,31,23,94,95,10,3,-19
The Touch Of Your Lips,,Chet Baker,5/19,20:05,A Minor,Minor,8A,109,2:43,53,6,38,6,87,0,12,4,-18
Autumn Leaves,,Chet Baker,5/19,20:12,F Minor,Minor,4A,187,7:03,56,61,35,60,79,45,12,5,-11
Embraceable You,,Chet Baker,5/19,20:17,F Major,Major,7B,123,2:09,35,2,55,28,93,0,11,4,-20
My Funny Valentine,,"Chet Baker, Russ Feeman, Joe Pass",5/19,20:27,C Minor,Minor,5A,133,2:21,66,1,44,28,94,1,11,4,-26
Born To Be Blue,,Chet Baker,5/19,20:33,C# Major,Major,3B,69,4:06,51,20,38,24,74,0,9,5,-15
Let's Get Lost,,Chet Baker,5/19,20:40,C Major,Major,8B,78,3:44,56,37,52,55,84,0,11,3,-9
